tool,metric,label,value
tool1,correlation-statistic,cEXT,0.02673296008862707
tool1,correlation-pvalue,cEXT,0.18430024911539217
tool1,correlation-statistic,cNEU,0.008498031063865487
tool1,correlation-pvalue,cNEU,0.6730489803556491
tool1,correlation-statistic,cAGR,0.03134768327951032
tool1,correlation-pvalue,cAGR,0.11949084176053548
tool1,correlation-statistic,cCON,0.017462863261542342
tool1,correlation-pvalue,cCON,0.38585233713438616
tool1,correlation-statistic,cOPN,0.13157584577466494
tool1,correlation-pvalue,cOPN,5.3166922763821695e-11
tool1,accuracy,cEXT,0.5214748784440842
tool1,accuracy,cNEU,0.5040518638573744
tool1,accuracy,cAGR,0.5072933549432739
tool1,accuracy,cCON,0.5113452188006483
tool1,accuracy,cOPN,0.5672609400324149
tool3,correlation-statistic,cEXT,0.05349739260942245
tool3,correlation-pvalue,cEXT,0.007854700722787284
tool3,correlation-statistic,cNEU,0.10650321988765314
tool3,correlation-pvalue,cNEU,1.136783572841032e-07
tool3,correlation-statistic,cAGR,0.047015666189085384
tool3,correlation-pvalue,cAGR,0.01950175834344762
tool3,correlation-statistic,cCON,0.09792827656229744
tool3,correlation-pvalue,cCON,1.0923344277555917e-06
tool3,correlation-statistic,cOPN,0.11498558333599881
tool3,correlation-pvalue,cOPN,1.0133413334400964e-08
tool3,accuracy,cEXT,0.4959481361426256
tool3,accuracy,cNEU,0.549837925445705
tool3,accuracy,cAGR,0.5101296596434359
tool3,accuracy,cCON,0.5388978930307942
tool3,accuracy,cOPN,0.5575364667747164
tool4,correlation-statistic,cEXT,0.008445269567171999
tool4,correlation-pvalue,cEXT,0.6749623911088364
tool4,correlation-statistic,cNEU,0.02907672246563924
tool4,correlation-pvalue,cNEU,0.1487178428316198
tool4,correlation-statistic,cAGR,0.03481866334216573
tool4,correlation-pvalue,cAGR,0.08373692662316493
tool4,correlation-statistic,cCON,0.0806033462899443
tool4,correlation-pvalue,cCON,6.103159701788963e-05
tool4,correlation-statistic,cOPN,0.02123404851380983
tool4,correlation-pvalue,cOPN,0.2916677333083866
tool4,accuracy,cEXT,0.5145867098865479
tool4,accuracy,cNEU,0.5113452188006483
tool4,accuracy,cAGR,0.5121555915721232
tool4,accuracy,cCON,0.5324149108589952
tool4,accuracy,cOPN,0.5178282009724473
