tool,metric,label,value
tool1,correlation-statistic,cEXT,0.1406236278935863
tool1,correlation-pvalue,cEXT,5.637647816977117e-45
tool1,correlation-statistic,cNEU,0.18470481664709096
tool1,correlation-pvalue,cNEU,7.978354703375822e-77
tool1,correlation-statistic,cAGR,0.15572707661246574
tool1,correlation-pvalue,cAGR,7.137560478676682e-55
tool1,correlation-statistic,cCON,0.16539921684497919
tool1,correlation-pvalue,cCON,9.18820908118067e-62
tool1,correlation-statistic,cOPN,0.19872569308921464
tool1,correlation-pvalue,cOPN,7.1339809047227e-89
tool1,accuracy,cEXT,0.849450438640718
tool1,accuracy,cNEU,0.8732479580518302
tool1,accuracy,cAGR,0.8175859634970253
tool1,accuracy,cCON,0.820611071896743
tool1,accuracy,cOPN,0.7686800443682565
tool3,correlation-statistic,cEXT,0.06313735601501289
tool3,correlation-pvalue,cEXT,3.1145807084311104e-10
tool3,correlation-statistic,cNEU,0.10815077160013971
tool3,correlation-pvalue,cNEU,3.425796319723674e-27
tool3,correlation-statistic,cAGR,0.1226005561776652
tool3,correlation-pvalue,cAGR,1.603410684420724e-34
tool3,correlation-statistic,cCON,0.11915681333347758
tool3,correlation-pvalue,cCON,1.0872546654038495e-32
tool3,correlation-statistic,cOPN,0.13222448233190628
tool3,correlation-pvalue,cOPN,6.386613101487523e-40
tool3,accuracy,cEXT,0.8480387213875163
tool3,accuracy,cNEU,0.8668952304124231
tool3,accuracy,cAGR,0.8165775940304527
tool3,accuracy,cCON,0.8176868004436826
tool3,accuracy,cOPN,0.7611172733689624
tool4,correlation-statistic,cEXT,0.09240430803042027
tool4,correlation-pvalue,cEXT,2.955107561001348e-20
tool4,correlation-statistic,cNEU,0.11116901552889359
tool4,correlation-pvalue,cNEU,1.2034788947984852e-28
tool4,correlation-statistic,cAGR,0.10492690612674825
tool4,correlation-pvalue,cAGR,1.1057141650561015e-25
tool4,correlation-statistic,cCON,0.046015825429863814
tool4,correlation-pvalue,cCON,4.5551674757231644e-06
tool4,correlation-statistic,cOPN,0.16743753212714882
tool4,correlation-pvalue,cOPN,2.8554905207716725e-63
tool4,accuracy,cEXT,0.8437027326812544
tool4,accuracy,cNEU,0.8627609155994757
tool4,accuracy,cAGR,0.815468387617223
tool4,accuracy,cCON,0.8145608550973077
tool4,accuracy,cOPN,0.7646465665019663
