ID,#AUTHID,STATUS,sEXT,sNEU,sAGR,sCON,sOPN,cEXT,cNEU,cAGR,cCON,cOPN,DATE,NETWORKSIZE,BETWEENNESS,NBETWEENNESS,DENSITY,BROKERAGE,NBROKERAGE,TRANSITIVITY,BIG5_Openness,BIG5_Conscientiousness,BIG5_Extraversion,BIG5_Agreeableness,BIG5_Neuroticism,Female,Age
1,b7b7764cfa1c523e4e93ab2a79a946c4,likes the sound of thunder.,2.65,3.00,3.15,3.25,4.40,n,y,n,n,y,06/19/09 03:21 PM,180,14861.6,93.29,0.03,15661,0.49,0.1,0.9520000000000001,0.3061,0.5907,0.7818,0.38530000000000003,0.9999999020484924,30.090897699614814
2,b7b7764cfa1c523e4e93ab2a79a946c4,is so sleepy it's not even funny that's she can't get to sleep.,2.65,3.00,3.15,3.25,4.40,n,y,n,n,y,07/02/09 08:41 AM,180,14861.6,93.29,0.03,15661,0.49,0.1,0.8948999999999999,0.3064,0.01,0.0617,0.7777,0.9489879420511679,12.485648118626482
3,b7b7764cfa1c523e4e93ab2a79a946c4,"is sore and wants the knot of muscles at the base of her neck to stop hurting. On the other hand, YAY I'M IN ILLINOIS! <3",2.65,3.00,3.15,3.25,4.40,n,y,n,n,y,06/15/09 01:15 PM,180,14861.6,93.29,0.03,15661,0.49,0.1,0.6672,0.41969999999999996,0.1294,0.653,0.9959,0.9999957132078957,18.13511130439615
4,b7b7764cfa1c523e4e93ab2a79a946c4,likes how the day sounds in this new song.,2.65,3.00,3.15,3.25,4.40,n,y,n,n,y,06/22/09 04:48 AM,180,14861.6,93.29,0.03,15661,0.49,0.1,0.8687,0.19190000000000002,0.25980000000000003,0.8741,0.8453,0.614045208422548,1.0
5,b7b7764cfa1c523e4e93ab2a79a946c4,is home. <3,2.65,3.00,3.15,3.25,4.40,n,y,n,n,y,07/20/09 02:31 AM,180,14861.6,93.29,0.03,15661,0.49,0.1,0.024300000000000002,0.8693000000000001,0.1777,0.1515,0.005,0.9999972811559111,41.90207606996522
6,b7b7764cfa1c523e4e93ab2a79a946c4,www.thejokerblogs.com,2.65,3.00,3.15,3.25,4.40,n,y,n,n,y,07/16/09 03:21 PM,180,14861.6,93.29,0.03,15661,0.49,0.1,0.4772,0.431,0.4518,0.3937,0.5499,0.6783692984469377,26.117990422048194
7,b7b7764cfa1c523e4e93ab2a79a946c4,"saw a nun zombie, and liked it. Also, *PROPNAME* + Tentacle!Man + Psychic Powers = GREAT Party.",2.65,3.00,3.15,3.25,4.40,n,y,n,n,y,06/27/09 05:41 AM,180,14861.6,93.29,0.03,15661,0.49,0.1,0.5125,0.6659,0.7240000000000001,0.2457,0.1306,0.0017951852056383238,21.00678002431198
8,b7b7764cfa1c523e4e93ab2a79a946c4,is in Kentucky. 421 miles into her 1100 mile journey home.,2.65,3.00,3.15,3.25,4.40,n,y,n,n,y,07/18/09 06:34 AM,180,14861.6,93.29,0.03,15661,0.49,0.1,0.15960000000000002,0.8693000000000001,0.2647,0.5275,0.0297,7.47077256578148E-5,34.686663632074584
9,b7b7764cfa1c523e4e93ab2a79a946c4,was about to finish a digital painting before her tablet went haywire. Is now contemplating the many ways she wishes to exact her revenge on faulty technology.,2.65,3.00,3.15,3.25,4.40,n,y,n,n,y,07/09/09 02:58 PM,180,14861.6,93.29,0.03,15661,0.49,0.1,0.6526000000000001,0.43810000000000004,0.1838,0.385,0.5538000000000001,0.8002337108894564,23.52144256762963
10,b7b7764cfa1c523e4e93ab2a79a946c4,is celebrating her new haircut by listening to swinger music and generally looking like a doofus.,2.65,3.00,3.15,3.25,4.40,n,y,n,n,y,07/07/09 11:41 PM,180,14861.6,93.29,0.03,15661,0.49,0.1,0.9661,0.12279999999999999,0.3588,0.5078,0.3297,0.5,8.104467639072952
11,b7b7764cfa1c523e4e93ab2a79a946c4,has a crush on the Green Lantern.,2.65,3.00,3.15,3.25,4.40,n,y,n,n,y,07/15/09 07:48 PM,180,14861.6,93.29,0.03,15661,0.49,0.1,0.6241,0.40630000000000005,0.5781000000000001,0.5095000000000001,0.44689999999999996,0.12495064560552131,29.73955575562473
